canonical_name,query_name,alias_list,exclude_if_contains,is_target
Niacinamide,Niacinamide,"Nicotinamide|NIA","nicotinamide adenine dinucleotide|NAD|NAD+|NADH|NADP|NADPH|NMN|nicotinamide riboside|nicotinamide mononucleotide",true
Ceramide,ceramide,"ceramide|ceramides","ceramide synthase|ceramide-1-phosphate",true
Panthenol,panthenol,"panthenol|d-panthenol|dexpanthenol","",true
Tranexamic acid,tranexamic acid,"tranexamic acid|txa","",true
Salicylic acid,salicylic acid,"salicylic acid|bha","",true
